,title,startYear,runtimeMinutes,genres,actor_or_actress,director,producer,averageRating,numVotes,adult,backdrop_path,original_language,overview,poster_path,production_countries,release_date,production_companies_name
440,Les Plouffe,1981,227.0,Drama,"Serge Dupire (1958, \N)","Gilles Carle (1929, 2009)","Justine Héroux (1942, 2021)",7.9,497,False,/cYGQ7kCltMwAWiLjEPYpl8Vgn9y.jpg,fr,The lives of the average Quebecois Plouffe family during the final years of the depression and through World War II.,/7JDOdpe0KySDhQyeMVj4bm3SRir.jpg,['CA'],1981-04-07,[]
441,Les aventuriers de l'arche perdue,1981,115.0,"Action,Adventure","Vic Tablian (1937, \N)","Steven Spielberg (1946, \N)",,8.4,1073960,False,/c7Mjuip0jfHLY7x8ZSEriRj45cu.jpg,en,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,['US'],1981-06-12,"['Paramount', 'Lucasfilm Ltd.']"
442,Tiempo de revancha,1981,112.0,"Drama,Thriller","Jorge Hacker (\N, \N), Haydée Padilla (1936, 2022), Rodolfo Ranni (1937, \N)","Adolfo Aristarain (1943, \N)","Luis Osvaldo Repetto (\N, \N)",7.8,1429,False,/uNF0AMnitTbfOCq2qPfDTKr6OPL.jpg,es,Two coworkers decide to blackmail the corrupt demolition company they work for by setting up a fake accident.,/3PN4tHczJmAxOTuhsim7pzt1fQm.jpg,['AR'],1981-07-30,['Aries Cinematográfica Argentina']
443,Vabank,1981,108.0,"Comedy,Crime","Jacek Chmielnik (1953, 2007), Elzbieta Zajacówna (1958, 2024)","Juliusz Machulski (1955, \N)",,7.9,5286,False,/y4tFR7iZTPJ2pREvDTlTkauvWZ5.jpg,pl,"October 1934. Poland. Famous bank robber Kwinto decided to quit his dangerous criminal job, but after his friend's death, he changed his mind and organized a burglary of famous and well protected bank which belonged to his former partner in crime, backstabbing and double-crossing Kramer. Kwinto designs a clever plan not to only rob the Kramer's bank but to make it look like Kramer himself did it.",/fkaGXtkitVud5YI2EYEU6pqHjdb.jpg,['PL'],1981-10-01,"['Zespól Filmowy ""Kadr""']"
444,Variola vera,1982,110.0,"Drama,History,Horror","Varja Djukic (1962, \N)","Goran Markovic (1946, \N)","Aleksandar Stojanovic (1939, 1990)",8.1,3214,False,/yFlCLzoNVQouBCMb6cesGDcsuDa.jpg,sh,"An Albanian pilgrim, infected with an unknown disease, is on his way back to Belgrade from the Middle East. When doctors realize that it is a disease that has been considered eradicated, it is already too late - variola vera begins to languish and the hospital is quarantined.",/dibhRUd9Fm4DeFYFdlzDJ1ykwZO.jpg,['YU'],1982-07-09,"['Croatia Film', 'Art film 80']"
445,Arth,1982,138.0,"Drama,Romance","Shehzad Askari (\N, \N)","Mahesh Bhatt (1948, \N)","Kuljit Pal (\N, 2023)",7.8,1633,False,/5iCSRxyPm35JOwivMkRrP18XDNp.jpg,hi,The semi-autobiographical film was written by Mahesh Bhatt about his extramarital relationship with actress Parveen Babi.,/AppiZ863Fz4XOra7ZaKNvP9mYrQ.jpg,['IN'],1982-12-03,[]
446,Bill Cosby: Himself,1983,105.0,"Comedy,Documentary",,"Bill Cosby (1937, \N)",,8.1,3751,False,/92DAD8HDfsYu4mdSwkXb2rXprvs.jpg,en,"A 1983 stand-up comedy film featuring the comedy of Bill Cosby. Filmed before a live audience at the Hamilton Place Theatre, in Hamilton, Ontario. Cosby gives his comedic views on people who drink too much and take drugs, going to the dentist, marriage and parenthood.",/t685Vbw4q2PxgnrlBFpgZO607D0.jpg,['US'],1983-05-20,"[""Jemmin' Inc"", 'Bill Cosby']"
447,Blade Runner,1982,117.0,"Action,Drama,Sci-Fi",,"Ridley Scott (1937, \N)",,8.1,854007,False,/eIi3klFf7mp3oL5EEF4mLIDs26r.jpg,en,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,"['US', 'HK', 'GB']",1982-06-25,"['Shaw Brothers', 'The Ladd Company', 'Warner Bros. Pictures']"
448,Burden of Dreams,1982,95.0,Documentary,,"Les Blank (1935, 2013)",,7.9,8611,False,/7xZdsIpgyDJtxEctCOM2xDmauwA.jpg,en,"The Amazon rain forest, 1979. The crew of Fitzcarraldo (1982), a film directed by German director Werner Herzog, soon finds itself with problems related to casting, tribal struggles and accidents, among many other setbacks; but nothing compared to dragging a huge steamboat up a mountain, while Herzog embraces the path of a certain madness to make his vision come true.",/qJuD9yZ7Mn9QCVqKO9WarNNYo4R.jpg,"['PE', 'US']",1982-10-01,"['Flower Films', 'José Koechlin von Stein']"
449,Sawwaq el-Utubis,1982,107.0,Drama,"Mervat Amin (1946, \N), Nour El-Sherif (1946, 2015), Nabila El Sayed (1938, 1986), Nimat Abdulnaser (\N, \N), Sharif Abdulhamid (\N, \N), Hamdi Al Wazir (1955, \N), Hussein El Sherif (1956, \N), Almontaser Bellah (1950, 2020), Aaliyah Abdulmoneim (\N, \N)","Atef El-Tayeb (1947, 1995)",,7.8,827,False,,ar,"A father loses his carpentry workshop after his son-in-law stops paying taxes regularly.  His son Hassan, a bus driver, struggles hard to save his father’s workshop, while the daughters try to replace it with a new project inspired by the “Infitah” era.",/z7ORAZGuqGxW4L5hDZINOYeBypz.jpg,['EG'],1982-07-11,[]
450,Dögkeselyü,1982,115.0,"Action,Crime,Drama","Maria Gladkowska (1957, \N)","Ferenc András (1942, 2024)",,7.8,1480,False,/4OPMvIA3uyFdNm4v19RdOBK5JdN.jpg,hu,"Two old women who happen to be pickpockets stole money from Simon, the taxi driver. The police are unable to find the thieves, so Simon decides to find them himself.",/zabludySNuFcewAr46Ues1Qr8m7.jpg,['HU'],1982-07-29,['Mafilm']
451,E.T. l'extraterrestre,1982,115.0,"Adventure,Family,Sci-Fi","Erika Eleniak (1969, \N), C. Thomas Howell (1966, \N), David M. O'Dell (\N, \N)","Steven Spielberg (1946, \N)","Kathleen Kennedy (1953, \N)",7.9,453705,False,/9Kg322bGsEbmp94LjCCVGz3cpNw.jpg,en,"An alien is left behind on Earth and saved by the 10-year-old Elliot who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliot, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.",/an0nD6uq6byfxXCfk6lQBzdL2J1.jpg,['US'],1982-06-11,"['Universal Pictures', 'Amblin Entertainment']"
452,Fanny et Alexandre,1982,188.0,Drama,"Pernilla Allwin (1970, \N), Kristian Almgren (1971, 1994), Bertil Guve (1970, \N)","Ingmar Bergman (1918, 2007)",,8.1,69467,False,/jVzoKlWUpsKV3y5oLafLQhEvgX6.jpg,sv,"As children in the loving Ekdahl family, Fanny and Alexander enjoy a happy life with their parents, who run a theater company. After their father dies unexpectedly, however, the siblings end up in a joyless home when their mother, Emilie, marries a stern bishop. The bleak situation gradually grows worse as the bishop becomes more controlling, but dedicated relatives make a valiant attempt to aid Emilie, Fanny and Alexander.",/mNlZjk8RYA93AdCGZ32D2SErNYb.jpg,"['SE', 'DE', 'FR']",1982-12-17,"['Cinematograph AB', 'Svenska Filminstitutet', 'SVT', 'Gaumont', 'Personafilm', 'Tobis']"
453,Fehérlófia,1981,86.0,"Adventure,Animation,Fantasy","Ottó Ulmann (1970, \N), Ferenc Szalma (1923, 2001), Szabolcs Tóth (\N, \N)","Marcell Jankovics (1941, 2021)",,7.8,3210,False,/yt4GSqkgwSLGxJhwUvAqMf9Fh4O.jpg,hu,A horse goddess gives birth to three powerful brothers who set out into the Underworld to save three princesses from three evil dragons and reclaim their ancestors' lost kingdom.,/cYYYIfBFG5nszjDk5xea4MQHyDS.jpg,['HU'],1981-10-22,['Pannónia Filmstúdió']
454,Fitzcarraldo,1982,158.0,"Adventure,Drama,Music","Huerequeque Enrique Bohorquez (\N, 2019), Paul Hittscher (\N, 1992), David Pérez Espinosa (\N, \N)","Werner Herzog (1942, \N)","Lucki Stipetic (1947, \N)",7.9,40772,False,/zBM5BMt82CcuRI0gtu9IrlKGyo2.jpg,de,"Fitzcarraldo is a dreamer who plans to build an opera house in Iquitos, in the Peruvian Amazon, so, in order to finance his project, he embarks on an epic adventure to collect rubber, a very profitable product, in a remote and unexplored region of the rainforest.",/oBCnYEKcg1rMhr5JjDnrRpilvDd.jpg,"['DE', 'PE']",1982-03-02,"['Werner Herzog Filmproduktion', 'Pro-ject Filmproduktion', 'ZDF', 'Wildlife Films Peru', 'Filmverlag der Autoren']"
455,Gandhi,1982,191.0,"Biography,Drama,History",,"Richard Attenborough (1923, 2014)",,8.0,243982,False,/gum3tuO1zKHBdElSQPS08PJ1w67.jpg,en,"In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed.",/rOXftt7SluxskrFrvU7qFJa5zeN.jpg,"['IN', 'ZA', 'GB', 'US']",1982-11-30,"['Goldcrest', 'Indo-British', 'International Film Investors', 'National Film Development Corporation of India', 'Columbia Pictures']"
456,Idemo dalje,1982,98.0,"Comedy,Drama,Family","Jelica Sretenovic (1954, \N)","Zdravko Sotra (1933, \N)","Srba Cuturilo (\N, \N)",7.8,587,False,/sA2acrMj6YqEMaY38uWVMGS5jnX.jpg,sh,WW2 is coming to an end and a young Partisan must face new challenges as a schoolteacher in small Serbian town.,/qQk7UxeR4bYFZbYQirVWpULtcth.jpg,['YU'],1982-02-16,['Centar film']
457,La famille Marathon,1982,92.0,"Comedy,Drama","Radislav Lazarevic (\N, \N)","Slobodan Sijan (1946, \N)",,8.8,17638,False,/pxr3jWnyCkT1PbB1uHdCUxLYy6M.jpg,sh,"The Topalović family has been in the burial business for generations. When the 150-year-old Pantelija dies, five generations of his heirs start to fight for the inheritance.",/uyxIzuITcHHFFa4hqwsdjbDrOJy.jpg,['YU'],1982-03-04,['Centar film']
458,Marg Yazdgerd,1982,110.0,"Drama,History","Mehdi Hashemi (\N, \N), Amin Tarokh (1953, 2022), Alireza Khamseh (\N, \N), Yasaman Arami (\N, \N), Mahmoud Behrouzian (\N, \N), Karim Akbari Mobarakeh (1953, 2020)","Bahram Beyzaie (1938, \N)",,8.3,1347,False,/uHbjtf9pTfyvIvDKyeScRqVhNqO.jpg,fa,"Bahram Beizai's poetic imagining of the circumstances that led to the death of Yazdgerd III, the last of the Sassanid kings of Iran. His death in 651, during the Arab invasions that brought Islam to this Zoroastrian realm, was mysterious: his corpse was discovered in a mill, but the cause of his death—and the whereabouts of his remains—are unknown.",/7zQe7aXPgs1dhyfIF71EmmzDaSn.jpg,['IR'],1982-04-01,['I.R.I.B. Channel 1']
459,Monty Python à Hollywood,1982,81.0,"Comedy,Documentary,Musical",,"Terry Hughes (1940, \N), Ian MacNaughton (1925, 2002)","Terry Hughes (1940, \N)",7.8,16133,False,/gAclP547gxtTuv2D4oJ2mgocwYv.jpg,en,"Monty Python perform many of their greatest sketches at the Hollywood Bowl, including several from pre-Python days.",/rgILMR4FfCF8syMLFHP7L46aAxY.jpg,['GB'],1982-06-25,"['HandMade Films', 'Columbia Pictures']"
460,La ballade de Narayama,1983,130.0,"Drama,Mystery","Aki Takejô (1947, 2022), Sanshô Shinsui (1947, 2017), Seiji Kurasaki (\N, \N), Junko Takada (\N, \N)","Shôhei Imamura (1926, 2006)",,7.8,9566,False,/vqNhqCC3hNk7k5HsGHW59r6B3qE.jpg,ja,In a small village in a valley everyone who reaches the age of 70 must leave the village and go to a certain mountain top to die. If anyone should refuse they would disgrace their family. Old Orin is 69. This winter it is her turn to go to the mountain. But first she must make sure that her eldest son Tatsuhei finds a wife.,/ewYZmeoqzE5XsL0Jlcorlu9iwGe.jpg,['JP'],1983-04-29,['Toei Company']
461,Pink Floyd: The Wall,1982,95.0,"Drama,Fantasy,Music","Bob Geldof (1951, \N), Kevin McKeon (1968, \N), David Bingham (\N, \N)","Alan Parker (1944, 2020)",,8.0,87830,False,/cIVB7BepeWUXqFF787uL3A7lOJb.jpg,en,A troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,/aElHyIdF5jmctFGhlhhaPFsbBJC.jpg,['GB'],1982-07-14,"['Goldcrest', 'Tin Blue', 'Metro-Goldwyn-Mayer']"
462,Przesluchanie,1989,118.0,"Crime,Drama,Thriller","Agnieszka Holland (1948, \N)","Ryszard Bugajski (1943, 2019)","Tadeusz Drewno (1939, 2016)",7.9,3905,False,/hTkBjpiUjzhrJEBE6b25hMfA9CW.jpg,pl,"In Stalinist Poland, cabaret singer Tonia decides to spend the evening drinking with a group of friends. The next morning, she awakes to find that, for reasons unknown to her, she has been jailed as a political prisoner. As prison officials interrogate, torture and humiliate her, she fights for survival and to maintain her innocence by refusing to sign a false confession. As her years of imprisonment pass, her relationship with her captors grows more complicated.",/9v0ZByK1cradwYBmtmtrp2US8od.jpg,['PL'],1989-12-13,"['Zespół Filmowy ""X""']"
463,Il quartetto Basileus,1982,128.0,Drama,"Urs Althaus (\N, \N)","Fabio Carpi (1925, 2018)",,7.8,107,False,,it,"The lives of the surviving members of the Basileus Quartet, a chamber group that has been playing successfully around the world for more than 30 years, are turned upside down after the death of the leader, Oscar Guarneri. The three aging musicians decide to split up to pursue those pleasures they've denied themselves too long.",,"['FR', 'IT']",1983-01-30,"['CEP', 'RAI']"
464,Slyozy kapali,1983,84.0,"Drama,Fantasy",,"Georgiy Daneliya (1930, 2019)",,7.8,866,False,/6N1UsrLbNjgHoTNDgrMaHqgurWp.jpg,ru,"A beautiful man, husband, father and worker Pavel Ivanovich Vasin got into the eye with a shard of the mirror of an evil wizard. And the world for him appeared in a gloomy light. He began to insult and offend everyone at home and at work. Anger and suspicion overwhelmed Vasin's heart. Enemies, schemers and thieves are seen everywhere. Everywhere he sees intrigues and intrigues. In complete despair from the ineradicability of evil, Vasin cries bitterly... along with tears, the unfortunate splinter disappears...",/8cNpl1sNt3jK1xUYZPKO3MmY3ha.jpg,['SU'],1983-01-15,['Mosfilm']
465,El sur,1983,95.0,"Drama,Mystery,Romance","Sonsoles Aranguren (\N, \N), Icíar Bollaín (1967, \N), Maria Caro (\N, \N)","Víctor Erice (1940, \N)",,7.8,6826,False,/gsv7SunY5Gn8766So6znOzVIKNC.jpg,es,"A woman recalls her childhood growing up in the North of Spain, in particular her relation to her father.",/bAyghNTLIwHIxoQOha6kHfwmxS6.jpg,"['ES', 'FR']",1983-05-18,"['Elías Querejeta P. C.', 'Chloë Productions', 'TVE']"
466,Tesna koza,1982,92.0,Comedy,"Gojko Baletic (1956, \N), Danica Maksimovic (1953, \N), Aleksandar Todorovic (\N, \N)","Milivoje 'Mica' Milosevic (1930, 2020)",,8.2,3970,False,/iXgoKJiUcbK1o6S69u56l42BIDU.jpg,sh,"At 56 years of age Mita Pantić (Nikola Simić) is still only a junior clerk in his company. Another typical workday for him is starting at 6 a.m. as frustration awaits at every turn from the moment he gets up. Trying to get ready to go to work, he can barely get a turn to use the bathroom in the crowded apartment. Other members of the household are not without their frustrations either, meaning that nagging and shouting are a staple of their home life at any time of day.",/t1eXmJP4u6sQEVHvdPD9DX4m4tK.jpg,['YU'],1982-09-20,"['Film Danas', 'Union film']"
467,Vokzal dlya dvoikh,1983,141.0,"Comedy,Drama,Romance","Raisa Etush (1955, \N)","Eldar Ryazanov (1927, 2015)",,7.8,3907,False,/bnFK9O5jQupcq5BwdThMVo9yqtm.jpg,ru,"Platon Ryabinin, a pianist, is traveling by train to a distant town of Griboedov to visit his father. He gets off to have lunch during a twenty minute stop at Zastupinsk railway station. He meets Vera, a waitress, after he refuses to pay her for the disgusting food he doesn't even touch and misses his train due to police investigation of the incident. His passport is then accidentally taken away from him by Andrei, Vera's fiancé, and his money is stolen as he waits for the next train to Griboedov. Vera learns that Platon is about to get sentenced and sent to prison in the Far East for a car accident he isn't guilty for. During the few days that Platon has to spend in Zastupinsk he and Vera develop feelings for each other...",/jlseBp5MDbnKAknjISb03Yh4SQC.jpg,['SU'],1982-06-06,['Mosfilm']
468,Yol,1982,107.0,Drama,"Hale Akinli (1941, 2019), Sevda Aktolga (1957, \N), Tuncay Akça (1963, 2024), Halil Ergün (1946, \N), Meral Orhonsay (1951, \N), Semra Uçar (\N, \N), Necmettin Çobanoglu (1953, \N)","Serif Gören (1944, 2024)","Edi Hubschmid (\N, \N), Kerim Puldi (\N, \N)",7.9,15006,False,/q6Pgf6urkust7NJanGEB2QX52C9.jpg,tr,"When five Kurdish prisoners are granted one week's home leave, they find to their dismay that they face continued oppression outside of prison from their families, the culture, and the government.",/cXgLJYlvGO3jbb7wu87IprvuOyY.jpg,"['FR', 'CH', 'TR']",1982-09-01,"['Cactus Films', 'Güney Film', 'Antenne 2', 'SRF']"
469,Znachor,1982,128.0,"Drama,Romance","Artur Barcis (1956, \N)","Jerzy Hoffman (1932, \N)",,7.8,4066,False,/aNVbkZXwMahw6rcIIZKK4iL1MJI.jpg,pl,"A famous surgeon is beaten by drunken bullies, loses his memory and cannot recollect who he was before. He gets to a village, lives in a not so well to do family and becomes the Quack - he slowly regains his talent for medicine and saves the lives of several village patients.",/j7crNGHgCjsiEArjtA4XIWiAlaX.jpg,['PL'],1982-04-12,['Studio Filmowe Zodiak']
470,Ardh Satya,1983,130.0,"Crime,Drama","Shafi Inamdar (1945, 1996), Achyut Potdar (1934, \N), Rafique Mukadam (\N, \N), Madhuri Purandare (\N, \N)","Govind Nihalani (1940, \N)",,8.1,2214,False,/40EJ7LogJjhpCB3mjx3ICfS8raY.jpg,hi,"A newly appointed police rookie deals with corruption, romance, and brutality.",/uBefh0aCQ3OJu48Fzk5CWPvBAhg.jpg,['IN'],1983-08-19,[]
471,Balkan ekspres,1983,102.0,"Comedy,War","Branko Cvejic (1946, 2022), Toma Zdravkovic (1938, 1991)","Branko Baletic (1946, \N)",,7.8,2971,False,/2ynTqo3pjMBYUyTxfP9fye6StDv.jpg,sh,"In this entertaining, clever satire, it is the beginning of World War II and a group of con artists and thieves decide to pose as musicians under the rubric ""The Balkan Express"".",/rQ0nCQPmQ0V7dvJnPcE1672D021.jpg,['YU'],1983-01-24,"['Inex film', 'Art film 80']"
472,Hadashi no Gen,1983,83.0,"Animation,Biography,Drama","Catherine Battistone (1947, \N), Issei Miyazaki (\N, \N), Iona Morris (1957, \N), Masaki Kôda (\N, \N)","Toshio Hirata (1938, 2014), Shûichi Hirokawa (\N, 2012), Mori Masaki (1941, \N)","Takanori Yoshimoto (\N, \N), Yasuteru Iwase (\N, \N)",8.0,9773,False,/fwJHBFJBappz9DQDLIBG9u945A5.jpg,ja,A story about the effect of the atomic bombing of Hiroshima on a boy's life and the lives of the Japanese people.,/kVqQToQ47e27b9uoryttWgTPiik.jpg,['JP'],1983-07-21,"['Gen Productions', 'Madhouse', 'Tokyo Laboratory', 'Mushi Production', 'Magic Capsule', 'Studio Aoi']"
473,Une histoire de Noël,1983,93.0,"Comedy,Family","Yano Anaya (1972, \N), Tedde Moore (1947, \N), Ian Petrella (1974, \N), RD Robb (\N, \N), Jean Shepherd (1921, 1999), Zack Ward (1970, \N)","Bob Clark (1939, 2007)",,7.9,175078,False,/7hJ54hwwdUMODmE7OUbRwlFNtFk.jpg,en,"The comic mishaps and adventures of a young boy named Ralph, trying to convince his parents, teachers, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift for the 1940s.",/f3VITMLSmP3Ai65AvXT54RcF5Sw.jpg,"['US', 'CA']",1983-11-18,"['Christmas Tree Films', 'Metro-Goldwyn-Mayer']"
474,The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War,1984,98.0,Documentary,"Bill Bailey (\N, \N)","Noel Buckner (\N, \N), Mary Dore (\N, \N), Sam Sills (\N, \N)","Noel Buckner (\N, \N), Mary Dore (\N, \N), Sam Sills (\N, \N)",8.1,146,False,,en,"This documentary examines the experiences of the Abraham Lincoln Brigade, using interviews with survivors more than 50 years later. First, the film sets the context with the rise of Fascism. Then, in 1936, Spain's military revolts against the elected government, and the U.S. and Europe agree not to intervene. In response, volunteers snuck past border guards into Spain to fight with the Republicans. The men and women veterans describe the perils of reaching Spain, limited training, responsibilities of command thrust on the very young, deprivations of a soldier's life, lack of matériel, horrible rates of casualties, and ultimate vindication at the end of World War II.",/aHArsm3EHBgnqFbHsZL2ii2jOrV.jpg,['US'],1984-03-28,[]
475,Jaane Bhi Do Yaaro,1983,132.0,"Comedy,Crime,Drama","Bhakti Barve (1948, 2001), Satish Kaushik (1956, 2023), Rajesh Puri (\N, \N), Deepak Qazir (\N, \N)","Kundan Shah (1947, 2017)",,8.3,15128,False,/1BbgYWI4Dz1VTgVMcQFwW7OQqRT.jpg,hi,"Two zanies open a photography studio. They score a partnership with a gossip magazine that suddenly thrusts them into a world of corruption, murder, and hijinks.",/gidaBJsPuq0nTG7PI93mERZoVAh.jpg,['IN'],1983-08-12,['National Film Development Corporation of India']
476,"Jára Cimrman lezící, spící",1983,81.0,"Biography,Comedy",,"Ladislav Smoljak (1931, 2010)","Jan Balzer (1941, \N)",7.9,1162,False,/zKBxMfbsw87jvdHX4emfq3PDqHx.jpg,cs,"Czechoslovak comedy film directed by Ladislav Smoljak, about the fictional national hero Jára Cimrman (universal genius, inventor, sportsman, criminalist, poet, writer and philosopher).",/5sj8TyF5fRL7IMwpQnuCcmxEBmH.jpg,['XC'],1983-09-30,[]
477,La valse des pantins,1982,109.0,"Comedy,Crime,Drama","Lou Brown (1912, 2007), Vinnie Gonzales (\N, \N), Peter Potulski (\N, \N), Whitey Ryan (\N, \N)","Martin Scorsese (1942, \N)",,7.8,126002,False,/npoUm3stzUM2lR46ClLDwBZDaeZ.jpg,en,"Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.",/3BM78deUfeZfShqPTblZuamgC8a.jpg,['US'],1982-12-18,"['Embassy International Pictures', '20th Century Fox']"
478,"Koyaanisqatsi, la prophétie",1982,86.0,"Documentary,Music",,"Godfrey Reggio (1940, \N)","Godfrey Reggio (1940, \N)",8.2,43278,False,/9bHN0tBcMMtR7jE4oWlAmyWsuMy.jpg,en,Takes us to locations all around the US and shows us the heavy toll that modern technology is having on humans and the earth. The visual tone poem contains neither dialogue nor a vocalized narration: its tone is set by the juxtaposition of images and the exceptional music by Philip Glass.,/6zCNciRcob8lwuydVXgq0esla8L.jpg,['US'],1982-10-04,"['IRE Productions', 'Santa Fe Institute for Regional Education']"
479,Masoom,1983,165.0,"Drama,Family","Urmila Matondkar (1974, \N), Jugal Hansraj (1972, \N), Supriya Pathak (1961, \N), Aziz Qureshi (\N, \N), Aradhana Srivastav (\N, \N)","Shekhar Kapur (1945, \N)","Chanda Dutt (\N, \N)",8.3,4579,False,/uuxY0hpf3B2bThoZXnQztnlIGPY.jpg,hi,"D.K. Malhotra lives a comfortable lifestyle with his wife, Indu, and two school-going daughters, Pinky and Minni. He works in the office of an Architect. One day while the family is relaxing, D.K. gets a phone call that results in him bringing home a young school-going boy by the name of Rahul. Indu is shocked to learn that Rahul is D.K.'s son from another woman, Bhavana, who is no more. D.K. does his best to make Rahul comfortable, but fails. Rahul also feels that Indu does not really like him, though Pinky and Minni have taken to him in a big way. Finally, D.K. decides to admit Rahul in a boarding school in far off Nainital. Rahul reluctantly goes along with this new-found uncle/friend. It is when Rahul is asked to put his papers together for school that Rahul finds out that D.K. is his biological father. Watch what happens when Rahul disappears from D.K.'s house, and the impact this has on D.K., Indu, and her two daughters.",/5A0FuOjlVVGTmG7rlwtXLbTl2qs.jpg,['IN'],1983-01-10,['Krsna Films Unit']
480,Nostalghia,1983,125.0,Drama,,"Andrei Tarkovsky (1932, 1986)",,7.9,31701,False,/ePq5SQuGHbQ209pf4ViE747dGCw.jpg,ru,A Russian poet and his interpreter travel to Italy to research the life of an 18th-century composer.,/fCYSidPXp3LpDa9wlLNv0gZvjyF.jpg,"['IT', 'SU']",1983-05-01,"['Sovinfilm', 'Opera Film Produzione', 'RAI']"
481,Rembetiko,1983,110.0,"Biography,Drama,Music","Nikos Dimitratos (1942, 2013), Sotiria Leonardou (\N, 2019), Michalis Maniatis (1952, \N), Spyros Mavides (\N, \N), Lina Babatsia (\N, \N)","Costas Ferris (1935, \N)","Costas Ferris (1935, \N), George Zervoulakos (1933, 2023)",8.1,3231,False,/96KDlqgSlnNz2yz5jUsrSqXQWpw.jpg,el,"The story of a group of Rembetes, singers and musicians of the Greek equivalent to the blues, in the early decades of the 20th century, seen through the eyes of a young female singer.",/bruXtZhukST9eP2ABKanlltoBC.jpg,['GR'],1983-01-01,"['EPT', 'Greek Film Centre']"
482,Le Retour du Jedi,1983,131.0,"Action,Adventure,Fantasy",,"Richard Marquand (1937, 1987)",,8.3,1164575,False,/ziECpBRIyclmBNaFSWlvCfsKbMD.jpg,en,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",/xxCnFmRZ83jHTZsBiceG4IBUGoq.jpg,['US'],1983-05-25,['Lucasfilm Ltd.']
483,L'étoffe des héros,1983,193.0,"Adventure,Biography,Drama",,"Philip Kaufman (1936, \N)",,7.8,67276,False,/w2KUVzeOC1u6cQwvUV0qqi7QYxs.jpg,en,"A chronicle of the original Mercury astronauts in the formation of America's space program: Alan Shepherd, the first American in space; Gus Grissom, the benighted astronaut for whom nothing works out as planned; John Glenn, the straight-arrow 'boy scout' of the bunch who was the first American to orbit the earth; and the remaining pilots: Deke Slayton, Scott Carpenter, Wally Schirra, and Gordon Cooper.",/btqTjNRxecYgQ1FGfVlLqSSNjz.jpg,['US'],1983-10-20,['The Ladd Company']
484,Sadma,1983,141.0,"Drama,Romance","Sridevi (1963, 2018), Silk Smitha (1960, 1996), H.J. Imam (\N, \N)","Balu Mahendra (1939, 2014)",,8.3,3648,False,,hi,"A head injury causes a woman to regresses to childhood. Lost and confused, she is eventually befriended by a school teacher. A remake of the 1982 film Moondram Pirai by the same team.",/5XJpcUUM3uN2QyGJowL1awY4mTX.jpg,['IN'],1983-07-08,['Sippy Films']
485,Sagara Sangamam,1983,160.0,"Drama,Music,Musical","Sailaja S.P. (\N, \N), Potti Prasad (1929, 1998), Geetha (1962, \N), Dubbing Janaki (\N, \N), Jaya Prada (1962, \N), Jit Mohan Mitra (\N, \N), Sarath Babu (1951, 2023)","K. Viswanath (1930, 2023)",,8.8,3730,False,/zcqtMwVXnrXuaOSRQ5UCFBnWFgz.jpg,te,A young multi-talented dancer is poverty stricken and as a principled person he does not want to compromise on his ethics for commercial dancing. A wealthy woman recognizes this talent and provides him with an opportunity to showcase his art.,/rRHUMQP2Q6B4HPYOa0zWiOQRQCz.jpg,['IN'],1983-06-03,['Poornodaya Movie Creations']
486,Le balafré,1983,170.0,"Crime,Drama","Mary Elizabeth Mastrantonio (1958, \N), Ángel Salazar (1956, 2024)","Brian De Palma (1940, \N)",,8.3,965310,False,/cCvp5Sni75agCtyJkNOMapORUQV.jpg,en,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,['US'],1983-12-09,['Universal Pictures']
