,title,startYear,runtimeMinutes,genres,actor_or_actress,director,producer,averageRating,numVotes,adult,backdrop_path,original_language,overview,poster_path,production_countries,release_date,production_companies_name
2669,Baradaran-e Leila,2022,165.0,Drama,"Maziar Seyedi (\N, \N)","Saeed Roustayi (1989, \N)","Saeed Roustayi (1989, \N)",7.9,16736,False,/hqU7refTJZ8rqQsMpfnCsiJAy8p.jpg,fa,"At the age of 40, Leila has spent her entire life caring for her parents and four brothers. A family that is constantly arguing and under pressure from various debts in the face of sanctions against Iran. While her brothers are struggling to make ends meet, Leila makes a plan.",/onQUSikPNXVvoT3wCLzHgiOPrHT.jpg,['IR'],2022-08-24,['Iris Film']
2670,Tomi Ungerer - L'esprit frappeur,2012,98.0,Documentary,,"Brad Bernstein (\N, \N)",,7.8,340,False,/zQC9izt8OmdYdcm0tiJFfPD7qTS.jpg,en,"Far Out Isn't Far Enough: The Tomi Ungerer Story depicts one man's wild, lifelong adventure of testing societal boundaries through his use of subversive art. This 98-minute film combines traditional documentary storytelling with original animation from over 70 years worth of art from the renegade children's book author and illustrator. Using a historical palette of 20th century events to paint an artist's epic yet controversial life story, this HD documentary film offers a feature-length retrospective of Ungerer's life and art, pondering the complexities and contradictions of a man who, armed with an acerbic wit, an accusing finger and a razor sharp pencil, gave visual representation to the revolutionary voices during one of the most tantalizing and dramatic periods in American history. Far Out Isn't Far Enough explores the circumstances of his meteoric rise and fall on American soil...",/6BVLIZkfAsocULnVgUTwaOC1umo.jpg,[],2012-10-15,[]
2671,Cidadão Boilesen,2009,92.0,Documentary,,"Chaim Litewski (\N, \N)","Chaim Litewski (\N, \N)",8.1,166,False,/zLR8V2bgKIIQxnRitE0pFxHgQyu.jpg,pt,"A documentary about the controversial businessman Henning Boilesen Jr. and his involvement with the military regime as one of its most enthusiastic supporters, financing it and participating in the tortures of political prisoners. Those actions later culminated in his assassination in 1971 by members of militant groups opposed to the regime.",/gxbLzVdaJugxTtLh2hx6Zd1HKf5.jpg,['BR'],2009-11-27,['Palmares Produções e Jornalismo']
2672,"Luxembourg, Luxembourg",2022,110.0,Comedy,"Amil Nasirov (\N, \N), Ramil Nasirov (\N, \N), Viktor Drapikovsky (\N, \N), Doris Maidanyuk (\N, \N), Lyudmyla Sachenko (\N, \N), Wolodymyr Holosnyak (\N, \N)","Antonio Lukich (1992, \N)",,7.9,4672,False,/2WtKZ0pHGzDLFQ204FSSFeHI2vI.jpg,uk,"Kolya and Vasylii learn that their father, who left them when they were children, is dying in Luxembourg, far away from them. One of them wants to go and find his father, while the other one does everything he can to prevent the first from leaving the country. As a result, they both go to Luxembourg in search of their dad: Kolya considers him a hero, while Vasylii thinks he is a scoundrel.",/9GGORXI4WRusI7XWje8c4lBm9WS.jpg,['UA'],2023-04-13,['ForeFilms']
2673,Rush,2013,123.0,"Biography,Drama,Sport",,"Ron Howard (1954, \N)",,8.1,534392,False,/caKZWDGmv5iW2U99skHs75MmOmU.jpg,en,A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,/5akKFgS7eeXUw9rKTEujryKrH17.jpg,"['DE', 'GB', 'US']",2013-09-02,"['Double Negative', 'Exclusive Media', 'Cross Creek Pictures', 'Revolution Films', 'Working Title Films', 'Imagine Entertainment', 'Universal Pictures']"
2674,Lowndes County and the Road to Black Power,2022,90.0,Documentary,,"Geeta Gandbhir (\N, \N), Sam Pollard (\N, \N)","Dema Paxton Fofang (\N, \N)",7.9,170,False,/9QvrvztsMwcvQKtt53laMnSovTU.jpg,en,"Through first person accounts and searing archival footage, this documentary tells the story of the local movement and young Student Nonviolent Coordinating Committee (SNCC) organizers who fought not just for voting rights, but for Black Power in Lowndes County, Alabama.",/iSHD3CLMttXgXADKhPyOuMgTKja.jpg,['US'],2022-12-02,"['Participant', 'Multitude Films', 'The Atlantic']"
2675,Kehvatlal Parivar,2022,135.0,Comedy,"Ankit Panchal (\N, \N)","Vipul Mehta (1990, \N)","Rashmin Majithia (\N, \N)",8.2,579,False,,gu,"Welcome to the world of Kehvatlal Parivar to experience drama, love, and togetherness. When there is unlimited madness in the house, this Parivar is all set to deliver delightful moments that can make laugh and cry.",/crpNayCcBA1EIt1FF36CgqlukTA.jpg,['IN'],2022-05-06,[]
2676,Coup 53,2019,120.0,"Documentary,History",,"Taghi Amirani (\N, \N)","Paul Zaentz (\N, \N)",7.8,757,False,/mirbd7cFNdwbkR8gMrVJfd8OdEp.jpg,en,"Tehran, Iran, August 19, 1953. A group of Iranian conspirators who, with the approval of the deposed tyrant Mohammad Reza Pahlavi, have conspired with agents of the British MI6 and the US CIA, manage to put an end to the democratic government led by Mohammad Mosaddegh, a dramatic event that will begin the tragic era of coups d'état that, orchestrated by the CIA, will take place, over the following decades, in dozens of countries around the world.",/Ar7iq23QZNh0ZX57uPc8e2IasvD.jpg,['GB'],2019-09-01,['Amirani Media']
2677,Haajar Bachhar Dhorey,2005,137.0,"Drama,Musical,Romance","Promi Atik (\N, \N), Ranjana Chowdhury (\N, \N), Rokeya Sultana Keya (\N, \N), Sonia (\N, \N)","Suchanda (\N, \N)","Suchanda (\N, \N)",8.1,1210,False,,bn,The barren wife of a rich man allows him to marry a younger woman in order to have a child.,/49htOnktPSYor4Mej7GC3qhgJnN.jpg,['BD'],2005-01-09,['Suchanda Cholochitra']
2678,Still,2023,95.0,"Biography,Documentary",,"Davis Guggenheim (1963, \N)",,8.1,16943,False,/i1DlrpWCdgVIOc0NGFH6zj9JWGW.jpg,en,A short kid from a Canadian army base becomes the international pop culture darling of the 1980s—only to find the course of his life altered by a stunning diagnosis. What happens when an incurable optimist confronts an incurable disease?,/1kvowT7zERsSdhgweEmbyyJAPzc.jpg,['US'],2023-01-20,['Concordia Studio']
